height_map envu: number_of_rows = 40, number_of_columns = 40
SERV_IP = 192.168 123
my_vehicle->iID = 868
P.y = 18.138622, Pt.y = 0.000000, Q.y = 18.138622, Qt.y = 0.000000, R.y = 18.138622, Rt.y = 0.000000, S.y = 18.138622, St.y = 0.000000
P.y = 18.104870, Pt.y = 0.000000, Q.y = 18.104870, Qt.y = 0.000000, R.y = 18.104870, Rt.y = 0.000000, S.y = 18.104870, St.y = 0.000000
P.y = 18.070814, Pt.y = 0.000000, Q.y = 18.070814, Qt.y = 0.000000, R.y = 18.070814, Rt.y = 0.000000, S.y = 18.070814, St.y = 0.000000
P.y = 18.036455, Pt.y = 0.000000, Q.y = 18.036455, Qt.y = 0.000000, R.y = 18.036455, Rt.y = 0.000000, S.y = 18.036455, St.y = 0.000000
P.y = 18.001793, Pt.y = 0.000000, Q.y = 18.001793, Qt.y = 0.000000, R.y = 18.001793, Rt.y = 0.000000, S.y = 18.001793, St.y = 0.000000
P.y = 17.966827, Pt.y = 0.000000, Q.y = 17.966827, Qt.y = 0.000000, R.y = 17.966827, Rt.y = 0.000000, S.y = 17.966827, St.y = 0.000000
P.y = 17.931559, Pt.y = 0.000000, Q.y = 17.931559, Qt.y = 0.000000, R.y = 17.931559, Rt.y = 0.000000, S.y = 17.931559, St.y = 0.000000
P.y = 17.895987, Pt.y = 0.000000, Q.y = 17.895987, Qt.y = 0.000000, R.y = 17.895987, Rt.y = 0.000000, S.y = 17.895987, St.y = 0.000000
P.y = 17.860111, Pt.y = 0.000000, Q.y = 17.860111, Qt.y = 0.000000, R.y = 17.860111, Rt.y = 0.000000, S.y = 17.860111, St.y = 0.000000
P.y = 17.823933, Pt.y = 0.000000, Q.y = 17.823933, Qt.y = 0.000000, R.y = 17.823933, Rt.y = 0.000000, S.y = 17.823933, St.y = 0.000000
P.y = 17.787451, Pt.y = 0.000000, Q.y = 17.787451, Qt.y = 0.000000, R.y = 17.787451, Rt.y = 0.000000, S.y = 17.787451, St.y = 0.000000
P.y = 17.750666, Pt.y = 0.000000, Q.y = 17.750666, Qt.y = 0.000000, R.y = 17.750666, Rt.y = 0.000000, S.y = 17.750666, St.y = 0.000000
P.y = 17.713579, Pt.y = 0.000000, Q.y = 17.713579, Qt.y = 0.000000, R.y = 17.713579, Rt.y = 0.000000, S.y = 17.713579, St.y = 0.000000
P.y = 17.672136, Pt.y = 0.000000, Q.y = 17.672136, Qt.y = 0.000000, R.y = 17.672136, Rt.y = 0.000000, S.y = 17.672136, St.y = 0.000000
P.y = 17.630320, Pt.y = 0.000000, Q.y = 17.630320, Qt.y = 0.000000, R.y = 17.630320, Rt.y = 0.000000, S.y = 17.630320, St.y = 0.000000
P.y = 17.588131, Pt.y = 0.000000, Q.y = 17.588131, Qt.y = 0.000000, R.y = 17.588131, Rt.y = 0.000000, S.y = 17.588131, St.y = 0.000000
P.y = 17.545570, Pt.y = 0.000000, Q.y = 17.545570, Qt.y = 0.000000, R.y = 17.545570, Rt.y = 0.000000, S.y = 17.545570, St.y = 0.000000
P.y = 17.502638, Pt.y = 0.000000, Q.y = 17.502638, Qt.y = 0.000000, R.y = 17.502638, Rt.y = 0.000000, S.y = 17.502638, St.y = 0.000000
P.y = 17.459333, Pt.y = 0.000000, Q.y = 17.459333, Qt.y = 0.000000, R.y = 17.459333, Rt.y = 0.000000, S.y = 17.459333, St.y = 0.000000
P.y = 17.415657, Pt.y = 0.000000, Q.y = 17.415657, Qt.y = 0.000000, R.y = 17.415657, Rt.y = 0.000000, S.y = 17.415657, St.y = 0.000000
P.y = 17.371607, Pt.y = 0.000000, Q.y = 17.371607, Qt.y = 0.000000, R.y = 17.371607, Rt.y = 0.000000, S.y = 17.371607, St.y = 0.000000
P.y = 17.327185, Pt.y = 0.000000, Q.y = 17.327185, Qt.y = 0.000000, R.y = 17.327185, Rt.y = 0.000000, S.y = 17.327185, St.y = 0.000000
P.y = 17.282391, Pt.y = 0.000000, Q.y = 17.282391, Qt.y = 0.000000, R.y = 17.282391, Rt.y = 0.000000, S.y = 17.282391, St.y = 0.000000
P.y = 17.237225, Pt.y = 0.000000, Q.y = 17.237225, Qt.y = 0.000000, R.y = 17.237225, Rt.y = 0.000000, S.y = 17.237225, St.y = 0.000000
P.y = 17.191687, Pt.y = 0.000000, Q.y = 17.191687, Qt.y = 0.000000, R.y = 17.191687, Rt.y = 0.000000, S.y = 17.191687, St.y = 0.000000
P.y = 17.145777, Pt.y = 0.000000, Q.y = 17.145777, Qt.y = 0.000000, R.y = 17.145777, Rt.y = 0.000000, S.y = 17.145777, St.y = 0.000000
P.y = 17.099493, Pt.y = 0.000000, Q.y = 17.099493, Qt.y = 0.000000, R.y = 17.099493, Rt.y = 0.000000, S.y = 17.099493, St.y = 0.000000
P.y = 17.052837, Pt.y = 0.000000, Q.y = 17.052837, Qt.y = 0.000000, R.y = 17.052837, Rt.y = 0.000000, S.y = 17.052837, St.y = 0.000000
P.y = 17.005810, Pt.y = 0.000000, Q.y = 17.005810, Qt.y = 0.000000, R.y = 17.005810, Rt.y = 0.000000, S.y = 17.005810, St.y = 0.000000
P.y = 16.958410, Pt.y = 0.000000, Q.y = 16.958410, Qt.y = 0.000000, R.y = 16.958410, Rt.y = 0.000000, S.y = 16.958410, St.y = 0.000000
P.y = 16.910639, Pt.y = 0.000000, Q.y = 16.910639, Qt.y = 0.000000, R.y = 16.910639, Rt.y = 0.000000, S.y = 16.910639, St.y = 0.000000
P.y = 16.862495, Pt.y = 0.000000, Q.y = 16.862495, Qt.y = 0.000000, R.y = 16.862495, Rt.y = 0.000000, S.y = 16.862495, St.y = 0.000000
P.y = 16.813978, Pt.y = 0.000000, Q.y = 16.813978, Qt.y = 0.000000, R.y = 16.813978, Rt.y = 0.000000, S.y = 16.813978, St.y = 0.000000
P.y = 16.765089, Pt.y = 0.000000, Q.y = 16.765089, Qt.y = 0.000000, R.y = 16.765089, Rt.y = 0.000000, S.y = 16.765089, St.y = 0.000000
P.y = 16.715828, Pt.y = 0.000000, Q.y = 16.715828, Qt.y = 0.000000, R.y = 16.715828, Rt.y = 0.000000, S.y = 16.715828, St.y = 0.000000
P.y = 16.666195, Pt.y = 0.000000, Q.y = 16.666195, Qt.y = 0.000000, R.y = 16.666195, Rt.y = 0.000000, S.y = 16.666195, St.y = 0.000000
P.y = 16.616190, Pt.y = 0.000000, Q.y = 16.616190, Qt.y = 0.000000, R.y = 16.616190, Rt.y = 0.000000, S.y = 16.616190, St.y = 0.000000
P.y = 16.565813, Pt.y = 0.000000, Q.y = 16.565813, Qt.y = 0.000000, R.y = 16.565813, Rt.y = 0.000000, S.y = 16.565813, St.y = 0.000000
P.y = 16.515062, Pt.y = 0.000000, Q.y = 16.515062, Qt.y = 0.000000, R.y = 16.515062, Rt.y = 0.000000, S.y = 16.515062, St.y = 0.000000
P.y = 16.463940, Pt.y = 0.000000, Q.y = 16.463940, Qt.y = 0.000000, R.y = 16.463940, Rt.y = 0.000000, S.y = 16.463940, St.y = 0.000000
P.y = 16.412445, Pt.y = 0.000000, Q.y = 16.412445, Qt.y = 0.000000, R.y = 16.412445, Rt.y = 0.000000, S.y = 16.412445, St.y = 0.000000
P.y = 16.360579, Pt.y = 0.000000, Q.y = 16.360579, Qt.y = 0.000000, R.y = 16.360579, Rt.y = 0.000000, S.y = 16.360579, St.y = 0.000000
P.y = 16.308340, Pt.y = 0.000000, Q.y = 16.308340, Qt.y = 0.000000, R.y = 16.308340, Rt.y = 0.000000, S.y = 16.308340, St.y = 0.000000
P.y = 16.255730, Pt.y = 0.000000, Q.y = 16.255730, Qt.y = 0.000000, R.y = 16.255730, Rt.y = 0.000000, S.y = 16.255730, St.y = 0.000000
P.y = 16.202745, Pt.y = 0.000000, Q.y = 16.202745, Qt.y = 0.000000, R.y = 16.202745, Rt.y = 0.000000, S.y = 16.202745, St.y = 0.000000
P.y = 16.149389, Pt.y = 0.000000, Q.y = 16.149389, Qt.y = 0.000000, R.y = 16.149389, Rt.y = 0.000000, S.y = 16.149389, St.y = 0.000000
P.y = 16.095661, Pt.y = 0.000000, Q.y = 16.095661, Qt.y = 0.000000, R.y = 16.095661, Rt.y = 0.000000, S.y = 16.095661, St.y = 0.000000
P.y = 16.041561, Pt.y = 0.000000, Q.y = 16.041561, Qt.y = 0.000000, R.y = 16.041561, Rt.y = 0.000000, S.y = 16.041561, St.y = 0.000000
P.y = 15.987088, Pt.y = 0.000000, Q.y = 15.987088, Qt.y = 0.000000, R.y = 15.987088, Rt.y = 0.000000, S.y = 15.987088, St.y = 0.000000
P.y = 15.932244, Pt.y = 0.000000, Q.y = 15.932244, Qt.y = 0.000000, R.y = 15.932244, Rt.y = 0.000000, S.y = 15.932244, St.y = 0.000000
